expo,gauss
0.146,2.106
0.019,0.045
1.168,-0.89
0.245,-0.214
0.003,0.289
1.06,-0.04
1.006,0.863
0.167,1.171
0.363,-0.02
0.602,0.354
0.594,0.079
0.063,-0.952
0.611,1.502
0.13,1.04
0.033,-0.151
1.124,0.601
0.822,-1.321
1.346,-0.904
0.728,0.622
0.092,1.873
1.109,-0.119
0.512,0.693
0.46,-1.59
1.039,0.388
0.958,-0.689
0.319,0.66
0.569,0.223
0.692,1.059
0.4,0.281
1.723,-0.693
1.199,-1.25
0.54,-0.357
1.702,1.42
0.35,0.075
0.273,0.382
0.127,-0.402
1.444,-0.427
3.599,0.936
0.205,1.355
2.686,-0.721
0.657,1.708
0.383,-1.332
0.788,-0.098
0.517,-1.028
0.841,0.484
2.669,0.259
0.016,0.034
0.51,-1.827
0.429,1.479
2.072,-1.017
2.937,0.063
0.416,2.911
0.112,-0.239
0.732,0.534
2.004,-1.114
2.289,-0.79
0.085,-0.166
1.473,0.225
0.236,1.047
1.123,0.856
1.595,2.411
0.929,-0.7
0.132,-0.743
1.519,-0.449
1.341,0.383
1.578,-0.344
0.629,0.205
2.068,-1.852
0.46,-0.654
0.542,1.438
0.224,0.596
0.257,-0.801
0.362,0.341
0.777,1.113
0.138,0.351
0.65,-0.538
0.17,0.076
0.559,0.056
1.551,0.672
1.355,-0.177
2.72,-1.69
1.78,0.711
4.623,-0.928
2.067,0.086
0.291,0.132
0.482,-0.434
0.513,-0.707
2.408,0.841
0.799,-0.212
1.134,-1.984
0.796,-0.104
0.85,-0.809
4.819,0.823
0.255,-1.459
0.441,-0.603
0.349,0.348
4.461,0.815
0.087,0.838
0.792,-0.124
0.2,1.073
0.514,1.442
1.17,1.66
0.619,-0.428
0.125,-1.042
1.356,0.214
0.219,0.47
1.813,-0.216
0.76,-0.395
0.644,-0.128
1.156,-0.74
0.015,2.232
1.618,1.081
0.854,-1.439
0.86,2.144
0.457,0.001
0.325,-1.458
0.169,-0.204
0.52,-0.384
3.413,-1.255
2.361,1.121
0.926,-0.924
0.12,0.215
0.108,-0.638
0.22,-1.763
0.163,1.043
0.624,-0.258
0.78,1.874
0.567,-0.624
1.098,-0.009
0.59,1.123
0.53,0.906
0.293,-1.639
2.095,-1.261
0.949,-0.39
3.923,2.082
0.222,-1.683
0.467,1.331
1.314,0.032
0.014,1.052
0.951,-1.928
0.007,1.948
0.374,-1.009
0.494,1.159
1.45,-0.097
0.534,-1.797
0.032,0.917
1.862,0.655
0.949,-2.147
1.063,-0.966
0.159,-1.354
0.582,0.332
0.475,1.446
1.241,0.682
3.797,0.862
0.476,-1.392
0.421,1.761
0.258,0.26
0.329,-0.795
1.308,-1.746
2.868,1.527
0.533,1.693
0.487,0.357
0.122,0.156
0.229,0.79
1.911,0.551
0.72,0.37
0.08,-0.603
0.032,0.351
2.763,-0.202
0.222,-0.267
0.249,-0.864
2.365,-0.748
3.062,1.016
0.02,0.115
0.368,0.064
0.225,-0.829
2.058,-0.221
0.778,-0.397
0.255,-0.669
0.197,-1.146
0.118,-0.994
1.001,-0.466
1.296,0.197
0.889,0.775
0.123,-0.981
1.482,-0.012
1.343,-0.129
1.027,-2.38
2.203,-0.056
2.117,-0.607
0.024,0.394
0.011,-0.842
1.058,-0.702
0.013,1.291
0.427,0.097
0.353,-0.776
0.13,0.228
0.32,-1.452
0.608,1.489
0.941,-0.254
0.459,-0.918
0.039,0.986
2.166,-0.414
1.603,-0.693
0.703,0.049
0.587,-2.09
1.155,-0.864
3.095,-0.437
0.279,-0.962
0.298,1.278
0.82,0.428
0.764,0.329
1.242,0.329
2.616,-0.15
1.613,-0.862
1.05,-0.004
0.196,0.832
0.37,-0.561
1.763,-0.592
4.664,-0.394
0.933,-1.515
2.007,0.412
0.29,-1.246
0.215,1.0
0.729,-0.01
1.309,0.819
1.02,2.026
0.872,0.481
1.861,-0.441
0.319,0.474
0.094,-1.738
1.344,1.334
0.7,0.124
0.117,1.072
0.483,-2.536
0.374,-0.019
1.597,-0.526
0.907,-1.991
1.787,-0.626
1.201,0.105
0.079,-1.314
3.572,1.323
0.236,1.526
1.253,-1.504
0.242,0.564
0.492,1.723
0.741,0.269
0.01,0.304
0.264,-1.606
0.044,-1.498
0.208,1.228
0.111,-0.547
1.402,0.312
1.6,-0.487
0.164,-0.151
3.096,0.883
0.284,0.136
1.73,-0.938
1.761,2.782
1.421,0.837
0.224,-0.483
0.249,0.157
3.539,-1.354
0.941,-0.479
0.174,0.987
1.977,-1.314
0.912,-1.744
2.735,0.475
0.632,1.291
0.887,-1.7
2.176,1.3
1.381,1.422
1.042,1.582
2.287,0.952
0.005,-1.083
0.818,-0.064
0.006,0.365
1.997,-0.732
1.371,0.933
0.366,-0.256
1.182,0.475
1.495,-0.222
5.116,1.655
0.344,-0.531
1.995,-0.022
4.195,-0.837
0.234,1.586
0.668,0.356
0.174,-0.452
1.107,-0.173
0.108,0.106
0.328,-0.101
0.404,-1.78
0.214,0.258
0.242,0.396
4.13,-1.702
1.226,-0.678
0.311,-0.119
0.219,0.439
0.361,-1.646
5.299,0.234
2.133,-1.031
0.061,-0.347
1.253,-0.137
0.065,0.034
2.733,-0.632
0.527,0.211
1.059,0.292
5.755,-1.372
0.906,0.934
0.004,0.21
2.285,0.843
0.605,-1.94
0.353,0.454
1.426,-0.278
1.575,1.05
1.504,-0.721
0.581,1.332
0.475,-0.69
0.717,0.234
0.933,-0.912
0.401,-0.105
1.738,0.191
0.002,1.716
3.516,-0.52
1.17,0.338
1.937,0.346
1.326,-1.117
1.772,-0.387
0.623,0.18
0.457,-0.122
1.399,1.883
0.046,0.663
0.209,2.208
0.848,-0.882
0.708,-1.204
1.093,0.905
0.111,-1.055
0.355,-1.524
0.691,0.85
0.298,-0.78
1.211,0.995
1.449,0.14
0.021,1.741
0.296,-1.091
0.356,0.314
0.717,0.369
0.241,-0.236
0.295,-0.151
0.729,-0.166
0.126,1.777
0.954,0.88
0.036,-0.81
2.287,-1.652
0.314,0.237
0.21,-0.583
1.31,0.19
0.655,-2.187
1.709,0.921
0.267,-0.223
0.263,-0.34
0.936,0.147
2.299,-0.489
0.795,-0.038
0.772,0.362
0.392,1.476
1.508,1.285
2.324,0.159
0.213,-1.378
0.869,1.681
0.191,2.044
2.938,-0.152
0.853,-0.409
0.375,0.38
0.774,0.208
0.251,0.07
0.145,0.996
0.504,0.703
0.581,-0.63
0.857,-0.652
0.932,-1.585
1.123,-0.024
1.846,-0.743
1.02,0.798
1.573,-0.743
0.411,0.67
3.473,0.487
0.29,0.109
0.378,1.472
0.704,-0.608
0.256,0.155
2.81,-0.793
0.478,-1.141
2.878,0.71
0.327,0.915
0.985,-0.762
0.388,-2.216
0.591,-0.5
1.215,-1.121
0.608,0.311
0.317,1.458
0.162,-0.609
0.221,-0.141
0.297,0.805
1.192,-1.656
0.034,-0.53
0.374,-0.59
0.619,0.431
0.068,-0.133
0.92,-0.234
0.064,-0.86
1.59,1.243
1.038,-2.12
1.252,-0.433
0.505,0.631
1.306,1.013
0.046,0.525
1.66,0.4
1.215,1.674
1.077,0.711
0.664,0.427
0.466,0.84
0.856,0.409
1.81,0.259
0.316,1.483
1.684,-0.041
0.293,-0.096
0.97,-1.932
0.495,-0.228
0.188,1.193
1.668,0.758
0.318,-0.735
0.02,-1.089
1.415,0.373
0.657,0.175
0.097,-0.72
0.189,0.281
1.878,-0.118
2.397,0.454
1.32,-0.48
0.764,-0.508
0.695,-0.67
0.408,2.742
0.98,0.867
0.183,-2.204
0.391,-1.048
0.214,2.275
0.508,-0.578
0.376,-0.86
1.032,-0.624
0.927,0.675
0.144,1.237
0.596,0.472
0.074,0.026
0.153,0.231
0.146,-0.463
1.152,-0.395
0.971,-1.766
1.341,-0.958
0.792,-0.747
0.04,1.283
1.192,0.406
0.092,0.023
0.613,-0.383
0.994,0.769
0.101,0.239
1.422,1.612
0.151,-0.401
0.036,0.697
2.658,-0.017
0.113,-1.195
2.07,1.774
0.108,0.284
0.853,-1.408
0.589,1.306
0.221,-1.666
0.229,-0.345
2.381,0.255
0.198,1.15
1.78,0.649
0.404,-0.564
1.368,-0.275
0.17,-0.41
0.386,-0.298
1.734,-0.801
0.29,-0.282
0.316,1.495
1.369,0.26
1.535,-0.347
1.378,0.558
0.759,0.713
0.598,-0.146
1.102,0.475
0.458,0.232
2.776,-1.078
0.196,0.094
0.378,1.235
0.12,0.766
0.788,-0.038
0.903,0.789
1.549,0.58
0.327,0.201
0.35,-0.895
0.414,-0.753
0.342,0.56
0.265,0.544
0.567,-1.08
4.609,-0.767
0.437,0.827
0.737,-1.526
1.263,0.495
0.304,0.321
0.088,-0.861
2.815,1.209
1.864,-0.291
0.085,-1.185
0.595,-0.41
1.275,0.217
1.544,0.376
0.146,-1.104
0.065,-0.936
0.159,-0.854
0.217,0.857
1.575,1.819
0.098,-1.083
0.913,1.054
1.287,-0.994
0.202,-1.906
0.427,-0.068
0.035,-0.294
0.111,0.697
0.015,0.349
3.535,0.678
0.448,-0.24
1.096,-1.639
1.11,-0.994
3.282,0.633
1.772,0.818
1.726,-0.856
0.147,-0.263
1.51,0.81
1.147,1.382
1.326,-0.339
0.004,0.52
0.074,-0.052
0.306,1.955
0.216,0.668
2.799,1.167
2.231,-0.54
6.075,0.58
0.962,2.286
1.564,-2.401
0.007,1.782
0.157,0.401
2.417,0.164
0.467,-0.147
0.192,0.811
0.09,0.579
1.634,-0.762
0.135,0.084
0.59,0.407
0.346,-0.6
3.772,-0.328
1.026,0.283
0.102,1.827
0.751,1.055
0.521,-0.494
0.997,-0.226
0.69,0.906
1.558,-0.82
0.979,0.6
1.139,0.319
0.357,0.258
1.253,-0.656
0.637,0.188
1.464,-1.013
0.287,-0.144
0.31,0.819
6.175,-0.485
0.245,-1.157
0.533,0.006
3.329,0.041
0.51,-0.495
1.439,-0.703
1.482,0.109
2.11,1.538
0.074,1.293
0.449,0.57
0.304,0.163
0.766,0.968
2.436,-0.897
0.286,0.228
0.112,0.156
0.474,2.249
2.147,-0.134
4.007,-1.245
0.079,-1.599
0.222,0.365
0.82,1.447
0.558,0.262
0.825,0.663
0.008,0.519
0.155,-0.835
0.776,0.886
0.791,0.101
0.067,1.112
0.118,0.98
0.731,0.735
1.686,-3.3
1.094,-0.938
0.078,-0.366
5.679,-1.586
2.602,-0.661
0.021,-0.195
0.237,-0.711
0.034,0.717
0.126,-1.064
1.261,-0.723
1.247,0.645
0.252,0.96
0.61,-0.974
1.545,0.53
0.821,-0.458
2.383,0.826
0.746,0.958
0.504,-0.186
0.37,0.279
2.603,0.188
0.563,0.082
1.719,2.017
0.341,-0.034
0.52,0.117
3.1,-0.51
0.01,0.696
0.102,1.626
0.77,-2.774
0.292,-0.341
1.377,-0.593
1.909,0.872
1.532,-1.466
1.315,1.04
0.08,3.191
1.311,1.114
0.453,-2.059
0.741,1.736
0.394,-1.943
4.441,0.311
0.857,0.465
1.643,-0.133
2.092,-1.764
0.494,-0.048
0.258,0.369
1.86,1.041
0.114,0.103
0.775,0.168
0.94,-1.802
0.142,-1.521
0.442,-0.672
1.046,1.273
1.831,-0.816
1.248,0.818
0.948,1.647
0.608,-0.143
2.289,-0.68
0.586,0.961
1.551,0.563
0.906,1.013
2.866,0.881
0.075,-1.463
0.534,-0.332
2.525,-0.326
1.646,0.029
0.646,-1.895
2.75,-0.06
1.199,0.131
1.27,0.75
0.087,-1.009
0.061,-0.285
0.202,0.924
2.616,-0.44
0.337,0.717
3.358,-0.194
1.181,-1.824
8.147,0.27
1.27,0.386
0.005,0.276
0.441,0.152
0.287,-1.709
1.506,-0.394
2.68,-0.024
2.625,-0.015
0.818,-0.716
0.302,-0.009
0.668,-0.082
4.773,1.585
0.157,0.54
0.373,0.093
1.906,-1.606
0.865,-0.596
0.677,-0.57
0.513,2.214
2.182,-0.635
0.072,-0.214
0.78,-0.643
0.665,-0.585
1.861,-2.066
6.871,-0.446
0.735,-1.289
0.045,0.568
0.32,-1.294
1.924,1.138
0.391,-0.711
0.375,0.175
0.009,-0.319
0.507,-1.991
0.267,-2.332
0.794,-0.691
0.255,-0.215
0.288,0.828
0.454,-0.686
0.885,-0.738
2.505,1.573
0.311,0.469
0.592,1.058
1.314,0.245
0.029,-0.63
0.469,1.375
0.327,-0.101
0.422,0.398
0.112,-0.517
0.626,-0.043
1.328,0.729
1.874,0.384
1.278,-0.244
0.859,-0.844
0.194,-0.253
0.502,-0.396
2.221,-0.374
1.805,0.798
0.192,1.789
0.017,0.679
0.122,0.213
0.664,-0.175
0.782,0.573
1.534,-0.549
1.369,-2.551
1.0,-1.747
0.875,-0.72
0.216,-0.779
1.011,0.581
1.569,-1.402
0.749,0.368
0.763,-1.802
0.69,0.315
0.932,-0.041
0.166,0.184
0.59,-1.287
0.391,1.145
0.09,0.246
1.307,1.263
0.547,0.408
0.088,-0.69
1.804,-0.252
0.954,1.677
2.155,-1.062
2.394,-0.216
0.402,1.434
2.731,-0.448
1.57,-1.276
0.784,-0.174
0.536,3.643
2.096,-2.626
0.572,-0.24
0.754,-1.998
0.12,-1.46
0.496,-1.06
0.11,0.209
0.215,0.815
0.501,0.622
0.218,1.542
1.467,-0.618
0.105,1.377
0.365,-0.257
0.128,0.37
0.022,-1.502
1.486,-0.496
0.177,-0.466
1.17,0.849
1.289,-0.455
1.483,0.152
1.884,-0.134
0.75,1.035
0.004,-0.846
0.549,-2.279
0.111,-1.41
0.093,0.348
0.995,-1.14
0.632,-0.169
0.894,-0.533
1.139,0.232
2.222,-1.012
0.357,-1.694
0.603,-1.465
0.751,0.475
1.195,-1.119
2.666,0.64
5.0,0.979
2.435,-0.097
1.263,-0.153
0.427,0.27
0.534,-0.893
0.571,1.086
0.487,0.888
0.219,2.09
1.188,-1.712
1.308,-0.032
0.595,-0.73
1.93,-0.474
1.737,-1.593
1.667,-1.49
0.339,-0.689
0.25,1.151
1.735,1.029
3.779,-0.716
0.02,1.096
0.611,-0.132
0.093,0.981
2.207,-0.366
0.493,0.397
2.894,-0.252
0.632,0.255
0.39,-1.752
1.195,-1.198
0.866,-0.174
0.486,2.114
0.32,1.351
0.365,-0.851
3.15,1.074
0.202,-1.04
0.572,0.768
0.03,0.189
0.259,-1.568
2.553,-2.254
0.459,-0.33
0.552,-0.203
1.743,-0.576
0.03,-0.908
0.121,0.167
0.379,0.508
0.027,1.353
0.476,1.499
7.012,-0.717
0.04,0.875
0.231,-0.027
0.546,-0.757
0.072,0.807
2.95,-0.299
1.366,-0.153
0.009,-0.706
0.264,-0.748
1.089,0.707
0.533,0.691
0.275,0.522
0.138,-0.35
1.765,-0.607
0.884,1.084
0.308,-0.272
0.161,-0.352
0.262,-0.943
1.201,0.817
0.059,1.12
0.548,-1.664
2.964,0.432
0.873,-0.179
1.472,-0.539
0.438,-0.683
1.059,1.498
0.339,0.648
0.139,1.258
1.863,-1.077
0.467,0.829
0.676,1.949
1.652,-0.558
0.175,-0.412
2.073,-0.565
0.785,0.807
2.856,1.198
0.093,-0.604
0.105,-1.824
1.306,-0.053
1.93,0.296
0.737,-0.449
0.015,-0.854
0.062,0.984
0.053,-2.377
0.198,1.193
0.72,-1.776
0.384,-1.264
2.361,-2.485
1.273,0.04
0.815,0.162
1.348,-1.183
1.034,-2.134
0.037,-0.08
0.002,-0.977
0.662,0.154
0.258,-0.813
0.015,-2.428
0.874,-0.251
0.011,-0.436
1.932,-0.084
1.493,1.038
1.318,-0.791
1.434,0.548
0.265,-0.446
0.486,0.186
0.043,-0.687
0.093,1.024
2.464,1.052
2.497,2.371
0.004,0.374
0.283,0.542
0.026,-0.818
0.418,0.788
0.568,0.438
0.407,0.619
0.244,0.008
1.494,0.067
1.582,-2.096
0.132,-0.579
3.677,-0.306
0.972,-1.7
2.423,-0.511
0.061,-1.079
0.667,0.891
0.096,-0.276
0.137,-1.428
2.335,1.092
2.118,0.119
1.419,1.275
1.935,-0.335
1.154,0.551
0.895,-0.356
0.076,0.39
1.024,-0.028
1.524,0.299
3.029,1.149
1.018,0.165
0.354,-0.91
0.121,0.493
0.435,-0.051
0.727,0.556
0.141,0.139
0.735,-0.015
0.779,-0.365
0.449,0.694
0.392,-0.46
0.457,-0.575
0.493,-0.795
0.5,-0.887
0.112,-1.226
0.148,-0.205
0.618,1.082
0.036,0.268
3.242,-0.666
0.471,0.308
0.049,-0.737
0.977,-0.642
2.577,-0.148
1.013,0.977
0.248,0.962
0.489,0.381
0.092,-1.369
0.797,0.829
0.255,-0.689
0.172,-0.788
0.325,-0.462
0.082,1.449
1.482,0.983
1.412,-0.72
0.565,1.555
0.381,0.071
2.568,-0.972
0.413,0.197
1.005,-1.86
1.47,0.248
0.012,-0.699
0.522,2.035
0.172,0.525
0.06,-0.429
0.399,0.257
1.013,-0.828
2.937,0.517
0.595,1.631
1.0,-0.878
0.114,1.416
0.009,0.93
0.267,0.576
0.949,-0.888
0.255,0.765
4.86,-0.721
0.715,1.432
1.377,1.37
1.391,-0.108
0.847,0.152
1.29,-0.112
3.815,-0.234
0.827,-3.365
0.352,0.089
0.018,-0.075
1.653,-1.086
1.663,-1.891
1.048,0.657
0.016,-0.917
0.763,-0.874
0.4,-0.799
2.946,-1.541
0.256,-1.003
0.308,-0.329
0.642,-0.386
2.871,0.289
3.095,-0.08
0.347,0.982
0.317,2.062
0.47,0.977
1.154,0.485
0.413,0.454
1.534,-1.46
0.44,-0.847
0.875,-0.569
0.441,0.715
0.417,0.897
0.278,-0.495
0.013,0.466
3.122,-0.239
0.399,0.587
2.875,0.071
2.854,1.268
0.745,0.715
2.018,1.217
1.859,-0.596
1.46,-0.236
0.192,1.174
0.27,0.825
1.964,0.299
1.105,1.108
0.656,-0.456
0.286,0.692
0.087,-0.498
0.371,2.18
0.089,-0.275
0.078,0.511
0.798,0.728
0.595,-0.635
0.892,-0.614
1.025,-0.86
0.858,0.694
1.8,0.491
1.118,3.102
1.444,1.086
0.78,-0.459
0.324,-0.64
0.162,0.431
0.504,1.609
0.042,0.628
0.614,0.527
3.742,1.497
0.187,-0.772
0.076,-1.407
0.504,-0.671
0.386,0.346
0.465,-0.608
0.556,-0.45
2.043,0.11
0.321,-0.029
0.11,0.249
0.048,0.383
0.713,-0.261
1.79,-0.452
0.294,0.081
0.473,0.018
3.285,0.668
0.028,0.038
1.961,0.623
2.234,0.352
0.312,-0.893
1.858,0.749
2.91,-0.823
1.249,-0.391
2.817,-0.942
1.535,-0.547
1.2,0.38
1.302,-0.623
0.475,1.566
0.237,0.098
0.406,-0.482
0.159,-0.79
1.546,0.235
0.866,-0.579
0.148,0.503
2.319,-1.362
1.126,-0.037
0.54,0.222
0.368,-0.679
0.257,-0.728
1.107,0.859
1.081,1.012
1.786,0.777
0.227,-0.685
0.632,-0.075
0.431,-0.536
1.617,-0.784
0.365,-1.822
0.213,0.665
0.076,1.061
0.298,-1.406
0.968,-2.059
0.216,0.849
1.352,0.391
0.212,0.676
1.226,-0.92
1.981,0.094
0.142,0.32
1.483,0.641
0.727,0.788
0.149,-0.108
1.36,-0.059
0.193,0.899
0.578,-0.141
1.387,0.158
1.273,-0.328
1.101,1.035
2.535,-0.32
0.035,0.227
0.164,-0.791
0.131,-0.229
0.449,1.397
0.38,-0.216
0.023,0.053
0.626,-0.068
1.706,-1.531
0.693,0.906
0.149,0.722
0.947,1.726
2.976,-0.608
0.257,-0.63
0.818,0.395
4.857,-0.826
0.666,0.482
0.622,-0.028
0.49,0.458
0.863,-0.063
0.445,-1.575
0.275,0.468
0.435,0.728
2.37,-0.52
0.579,1.025
2.01,1.235
1.163,2.072
4.531,-0.17
0.198,0.486
1.354,-0.126
0.919,-1.252
1.301,1.279
1.297,0.288
1.951,0.747
0.529,-1.138
1.576,-1.17
0.159,0.536
0.179,0.547
0.685,0.246
0.429,-0.648
0.453,-0.661
1.113,1.126
0.567,-1.561
0.32,0.33
0.245,0.697
0.877,0.822
0.982,-0.321
0.133,-0.684
1.902,1.463
0.068,-0.466
0.965,-0.206
0.046,-0.242
0.456,0.457
1.33,-0.757
0.417,1.158
1.399,1.695
0.594,0.899
5.131,0.588
0.51,0.02
1.001,0.562
0.689,-0.463
0.213,-0.075
0.505,0.802
1.033,-0.547
0.204,0.732
0.069,-0.034
0.903,-1.435
0.688,-0.118
2.107,0.372
0.059,1.183
0.776,0.757
0.935,0.036
0.179,0.68
0.832,0.08
0.071,0.036
0.253,-1.324
0.815,1.478
1.309,0.196
0.163,0.087
0.547,0.853
0.711,0.46
0.18,-1.03
0.516,-0.596
0.269,1.329
0.075,-1.267
0.269,-0.366
0.798,1.612
0.191,-0.205
0.427,0.823
1.857,-0.713
4.936,0.169
2.159,0.596
0.641,-0.725
1.419,-1.269
0.94,-0.682
0.108,-0.722
0.855,1.059
0.148,0.987
0.492,-1.163
0.148,0.117
0.299,0.144
0.977,-0.711
1.941,-0.675
0.562,0.214
1.233,0.23
0.373,1.972
0.332,-0.017
1.115,0.965
1.003,0.146
0.775,-1.282
0.34,-0.843
0.501,0.27
0.05,2.072
0.045,0.279
2.004,-1.159
0.697,0.726
0.35,-1.382
0.567,-0.359
1.441,-1.125
1.966,0.285
1.016,-0.221
0.658,-0.018
0.125,1.072
0.734,0.812
2.272,1.292
0.693,-0.313
1.017,-0.288
0.902,1.033
0.359,-0.277
0.169,1.193
1.001,1.657
1.795,-1.21
0.298,-1.699
1.14,-0.271
4.552,0.487
0.312,0.516
1.176,-0.639
5.316,-0.461
0.03,0.966
0.325,-1.337
0.203,0.806
0.582,-1.63
0.34,0.108
4.339,-0.162
0.028,0.544
0.19,0.348
0.467,0.407
0.18,0.375
1.966,-0.204
0.351,0.096
1.052,1.792
1.51,-0.934
0.427,-2.625
2.244,0.016
3.226,-0.465
0.538,1.198
0.98,-0.184
1.698,-0.515
1.028,0.411
0.038,-0.323
0.043,-0.721
0.232,0.858
0.175,-0.455
0.186,0.895
3.011,-0.304
2.311,-0.896
0.511,0.013
0.312,-0.996
0.104,-0.111
0.052,-0.466
2.842,-1.637
0.547,-1.245
0.855,1.733
1.117,1.293
0.116,-0.484
0.542,-0.6
0.692,0.424
0.185,0.48
0.46,-0.4
0.483,2.09
1.21,0.414
3.518,0.505
0.779,0.964
0.374,-0.297
0.175,-0.291
1.119,-0.387
1.998,0.55
0.081,-0.542
1.547,0.683
0.145,-0.998
1.663,-0.281
0.215,1.716
2.049,-0.59
1.522,0.005
1.283,-0.114
8.506,0.65
4.241,1.104
0.014,0.512
0.664,-0.933
0.606,-1.161
0.295,0.176
0.762,1.034
0.364,0.613
0.083,1.222
0.644,1.71
0.055,0.588
1.084,1.434
1.463,1.22
0.053,-0.492
1.023,0.219
1.031,1.793
0.713,-0.172
1.088,-0.269
0.554,1.405
0.116,-1.538
4.667,1.617
0.292,-1.249
0.524,-1.527
1.379,0.82
0.054,-1.226
0.817,-1.372
0.129,-1.133
0.131,-0.133
2.204,0.579
0.117,-1.145
0.046,0.509
0.353,0.081
1.377,1.425
0.306,-1.836
2.011,-2.289
0.585,-1.247
0.064,1.115
1.74,0.983
0.284,-0.5
1.773,0.037
0.797,0.944
0.679,-0.16
0.886,0.853
1.02,-0.469
2.295,-0.433
0.76,0.808
0.109,0.126
0.51,0.209
0.758,-0.973
0.82,-0.064
0.695,-0.579
0.187,0.145
0.038,-0.65
